"tax","mining","refinery","chemicals","agri","metals"
85.200,2.485,23.174,3.021,2.851,1.527
85.400,3.722,35.291,4.538,4.259,2.264
85.600,3.634,34.463,4.431,4.160,2.210
85.800,3.472,32.914,4.233,3.976,2.111
86.000,3.360,31.841,4.097,3.850,2.044
86.200,3.140,29.694,3.827,3.599,1.913
86.400,2.855,26.864,3.477,3.274,1.744
86.600,2.218,20.342,2.688,2.544,1.378
86.800,2.028,18.303,2.451,2.325,1.272
87.000,1.935,17.286,2.334,2.218,1.222
87.200,1.844,16.268,2.219,2.114,1.173
87.400,1.766,15.367,2.120,2.023,1.132
87.600,1.695,14.532,2.029,1.941,1.096
87.800,1.592,13.294,1.897,1.821,1.046
88.000,1.530,12.537,1.817,1.749,1.016
88.200,1.433,11.281,1.689,1.632,0.972
88.400,1.396,10.833,1.639,1.588,0.956
88.600,1.378,10.594,1.615,1.567,0.949
88.800,1.341,10.071,1.566,1.522,0.934
89.000,1.266,8.974,1.463,1.428,0.906
